"CMPSI_ID","CMPSI_NM","CMPSI_ADJA_STAT_TYPE","CMPSI_ADJA_STAT_ID","CMPSI_ADJA_STAT_NM","HHIS_TYPE_LOCA_LNGTD","HHIS_TYPE_LOCA_LTTD","CMPSI_ADJA_STAT_ROUTE_LIST",DATA_CONNO,"OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"CAP300001","(주)데일리랜드","1","260266","성골종점","127.854179","37.753556","사랑말.성골,성골,성골.온천",0,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","512131","연동","126.958777","35.264395","322-1,70-1",1,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","512132","연동","126.958523","35.264510","322,322-1,70-1",2,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","512135","탄금","126.958669","35.269397","322-1,70-1",3,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","524653","반월","126.968640","35.270942","322,70-1",4,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","524654","반월","126.968648","35.271168","322,70-1",5,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","524657","방축리","126.962555","35.274126","70-1",6,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","524658","방축리","126.962743","35.273993","70-1",7,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","524712","상덕리","126.964396","35.276260","70-1",8,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","524773","봉산치안센터","126.961675","35.265502","322,70-1",9,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","524951","탄금리","126.962504","35.268646","322,70-1",10,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","530216","봉산치안센터","126.961904","35.267433","322,70-1",11,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","530219","봉산치안센터","126.961399","35.266509","322-1,70-1",12,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","530220","탄금","126.958901","35.269291","322-1,70-1",13,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","530225","봉산면소재지","126.956364","35.276011","322-1,70-1",14,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","530236","탄금","126.958812","35.269389","70-1",15,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","530237","봉산치안센터","126.961378","35.266391","322-1,70-1",16,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","530240","탄금","126.964737","35.270161","322,70-1",17,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300002","(주)디노담양힐링파크 지점","1","530276","봉산면","126.956243","35.276019","322-1",18,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300004","(주)아웃오브파크","1","256221","관천리종점","127.512380","37.723358","남면3",19,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300004","(주)아웃오브파크","1","259276","관천리","127.522119","37.729462","남면3",20,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300004","(주)아웃오브파크","1","259277","관천리종점","127.512380","37.723313","남면3",21,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300004","(주)아웃오브파크","1","259452","관천리","127.522165","37.729417","남면3",22,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","602743","대정입구(대정입구방면)","128.375711","35.130166","75-1,76",23,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","602772","대정입구","128.376919","35.130415","75,75-1,76",24,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","602797","대정(들담마을방면)","128.376129","35.132806","75,75-1,76",25,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","602822","금암마을(들담마을방면)","128.374348","35.136895","75,75-1,76",26,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","602844","거락마을","128.372504","35.141589","75,75-1,76",27,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","603333","거락마을(마을회관)","128.372460","35.141517","75,75-1,76",28,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","603349","금암마을(대정마을방면)","128.374304","35.136778","75,75-1,76",29,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","603362","대정(양촌마을방면)","128.376063","35.132698","75,75-1,76",30,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","603381","대정입구(마을회관)","128.376809","35.130451","75,75-1,76",31,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","603402","대정입구(일암방면)","128.375755","35.130283","75-1,76",32,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","615918","금암 (중촌)마을(마을입구)","128.382298","35.138060","75",33,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300005","(주)양촌여울체험캠프","1","615919","금암 (중촌)마을(중촌)","128.382298","35.138006","75",34,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300006","(주)어반슬로우시티","1","84148","양수발전사택","127.505010","37.739897","12",35,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300006","(주)어반슬로우시티","1","165015","복장리회관","127.504168","37.736875","12",36,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300006","(주)어반슬로우시티","1","197424","학산촌입구","127.508267","37.739830","12",37,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300006","(주)어반슬로우시티","1","259276","관천리","127.522119","37.729462","남면3",38,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300006","(주)어반슬로우시티","1","259452","관천리","127.522165","37.729417","남면3",39,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","94570","팔봉산주차장","127.693759","37.703251","북방.반곡,북방.반곡.모곡,스키장.반곡",40,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","259231","용장사입구","127.690408","37.701981","남산2,북방.반곡,북방.반곡.모곡,스키장.반곡",41,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","259232","팔봉산관광지","127.694074","37.703928","남면2-1,남산1,남산1-1,남산2,남산2-1,북방.반곡,북방.반곡.모곡,스키장.반곡",42,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","259421","용장사입구","127.690283","37.702053","남산2,반곡.스키장,북방.반곡,북방.반곡.모곡",43,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","259422","팔봉산유원지","127.693859","37.703720","반곡.스키장,북방.반곡,북방.반곡.모곡",44,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","259962","밤나무골","127.688151","37.688396","남산2,북방.반곡,북방.반곡.모곡,스키장.반곡",45,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","259963","밤나무골","127.688139","37.688459","남산2,반곡.스키장,북방.반곡,북방.반곡.모곡",46,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","261729","용골상회","127.679872","37.691447","남산2",47,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","261730","용골상회","127.679918","37.691303","남산2",48,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","261731","밤벌유원지","127.689972","37.692050","남산2",49,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","261732","밤벌유원지","127.690074","37.692068","남산2",50,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","261901","밤나무골유원지","127.689394","37.689300","북방.반곡,북방.반곡.모곡,스키장.반곡",51,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","261902","밤나무골유원지","127.689292","37.689300","반곡.스키장,북방.반곡,북방.반곡.모곡",52,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300007","쥴리어스지점 휴토피아","1","5001606","산수2리","127.681312","37.702200","남산1,남산1-1",53,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","413056","고도입구","128.994995","35.988168","3,612,614,620,621,622,622-1,630",54,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","413057","충성대체력단련장","128.997320","35.989662","3,612,614,620,621,622,622-1,630",55,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","413058","충성대체력단련장건너","128.997530","35.989571","3,612,614,620,621,622,622-1,630",56,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","413059","도암1리","129.001088","35.991199","3,612,614,620,621,622,622-1,630",57,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","413060","도암1리","129.001978","35.991390","614,620,621,622,622-1,630",58,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426038","서원농원건너","129.006377","35.990245","3,612",59,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426039","서원농원","129.006389","35.990344","3,612",60,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426052","부동입구(허니문모텔)","129.001542","35.991159","3,612",61,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426085","고도1리경로당앞","129.004655","35.983896","611",62,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426086","고도1리경로당건너","129.004700","35.983968","611-1",63,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426087","드림랜드입구","129.000888","35.985045","611",64,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426088","드림랜드입구건너","129.000944","35.985090","611-1",65,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426089","고도교앞","128.997856","35.983827","611",66,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426090","고도교","128.997758","35.983927","611-1",67,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426091","고도교","128.997603","35.983964","611",68,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426092","고도리.민도경로당","129.001560","35.979389","611,611-1",69,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","426300","고도입구","128.994384","35.988110","3,611-1,612,614,620,621,622,622-1,630",70,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","5002103","엔텍 앞","129.009064","35.981768","611",71,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","5002141","엔텍 건너","129.009020","35.981850","611-1",72,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300008","(주)자연에너지-드림랜드오토캠핑장","1","5002142","고도교앞","128.997835","35.983908","611-1",73,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800118","웃 인다 마을","126.549259","33.464479","212,222,232,270,281,3003(심야),341,342,345,346,351,352,355,356,360,365,441,442,446,447,455,477",74,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800122","제주대학교병원","126.547782","33.469177","112,122,132,182,212,222,232,270,281,3003(심야),341,342,345,346,351,352,355,356,360,365,441,442,446,447,455,477",75,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800123","제주대학교병원","126.547365","33.469064","112,122,132,181,212,222,232,270,281,3003(심야),341,342,345,346,351,352,355,356,356-1,360,365,366,441,442,446,447,455,477",76,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800124","인다마을","126.545874","33.470697","212,222,232,270,281,3003(심야),341,342,345,346,351,352,355,356,360,365,370,380,441,442,446,447,455,477",77,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800125","인다마을","126.545344","33.471463","212,222,232,270,281,3003(심야),341,342,345,346,351,352,355,356,356-1,360,365,366,370,380,441,442,446,447,455,477",78,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800126","아라주공아파트","126.545791","33.473085","212,222,232,270,281,3003(심야),341,342,345,346,351,352,355,356,360,365,370,380,441,442,446,447,455,477",79,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800127","아라주공아파트","126.545427","33.473658","212,222,232,270,281,3002(심야),3003(심야),341,342,345,346,351,352,355,356,356-1,360,365,366,370,380,441,442,446,447,455,477",80,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800133","아라동주민센터","126.544915","33.475951","212,222,232,270,281,3003(심야),341,342,345,346,351,352,355,356,360,365,370,380,441,442,446,447,455,477",81,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800134","아라초등학교","126.544206","33.476546","212,222,232,270,281,3002(심야),3003(심야),341,342,345,346,351,352,355,356,356-1,360,365,366,370,380,441,442,446,447,455,477",82,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800542","대원 오등동입구","126.542331","33.477381","434,471",83,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","800544","대원마을","126.534697","33.476461","434,471",84,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","803282","오등상동","126.533758","33.462602","473",85,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","803283","오등상동","126.533571","33.462789","473",86,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300009","(주)자연인","1","803453","제주대학교병원","126.545007","33.467855","370,380",87,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300010","(주)태평소금 천일염 힐링캠프","1","529291","선착장","126.175968","34.996896","330,330-2,330-4,330-5,332-1,332-3,332-4,334-1",88,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300010","(주)태평소금 천일염 힐링캠프","1","529292","선착장","126.176120","34.996953","330-1,330-3,332-1,332-3,332-4,334-3,334-5",89,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","1","355329","해월2리","127.015464","36.508266","700,706,881",90,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","1","355330","호계초등학교","127.024502","36.505916","770,861",91,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","1","355331","호계초등학교","127.024603","36.505872","770",92,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","1","355404","호계2리","127.029588","36.497297","700,706,770,861",93,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","1","355405","호계장터길","127.027690","36.500030","700,706,770",94,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","1","355406","호계장터길","127.027624","36.499939","700,706,770,861",95,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","1","355407","사곡면","127.025277","36.502840","700,706,770,861",96,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","1","355408","사곡면","127.025400","36.502877","700,706,770",97,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300011","505펜션&캠핑(오공오)","1","355409","해월2리","127.015237","36.507669","700,706,881",98,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300012","80 SS 오토캠핑장","1","417483","남산2리","128.640897","36.032514","부계-둔덕,효령-둔덕",99,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300012","80 SS 오토캠핑장","1","417484","남산2리","128.640974","36.032514","둔덕-효령",100,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300013","A&J오토캠핑장","1","260789","위병봉기기념탑","127.818567","37.344444","52,57,58",101,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300013","A&J오토캠핑장","1","260790","위병봉기기념탑","127.818511","37.344344","52,57,58",102,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300013","A&J오토캠핑장","1","260792","평심원","127.812703","37.346958","52,57,58",103,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300013","A&J오토캠핑장","1","260793","평심원","127.812319","37.346939","52,57,58",104,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300013","A&J오토캠핑장","1","260794","한울타리","127.805789","37.349344","52,57,58",105,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300013","A&J오토캠핑장","1","260795","한울타리","127.806140","37.349092","52,57,58",106,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","419658","문의","127.940788","35.878859","김천85-4,김천885-5,지례85-4",107,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","419659","대동","127.941334","35.874065","예서85-4,예서885-5",108,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","419671","문의","127.940832","35.879112","예서85-4,예서885-5",109,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","419672","대동","127.941213","35.874101","김천85-4,김천885-5,지례85-4",110,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","437863","꼭두바우","127.940628","35.885547","김천85-4,김천885-5,지례85-4",111,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","437864","임기마을","127.940852","35.883096","김천85-4,김천885-5,지례85-4",112,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","437865","골담","127.939176","35.873090","김천85-4,김천885-5,지례85-4",113,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","437933","골담","127.939297","35.873027","예서85-4,예서885-5",114,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","437934","임기마을","127.940984","35.883150","예서85-4,예서885-5",115,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300014","Camp 1950 by 민들레울","1","437935","꼭두바우","127.940794","35.885565","예서85-4,예서885-5",116,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","356826","몽산1리","126.269998","36.683781","732,태안터미널행",117,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","356827","몽산1리","126.269898","36.683752","723,730,735",118,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370493","몽산1리.부무고랑","126.273382","36.688561","732,태안터미널행",119,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370494","몽산1리.부무고랑","126.273347","36.688650","723,730,735",120,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370495","몽산1리.갯천골","126.268959","36.690209","723,730,735",121,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370496","몽산1리.갯천골","126.268860","36.690162","732,태안터미널행",122,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370497","몽산1리.윗말","126.263999","36.687388","723,730,735",123,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370498","몽산1리.윗말","126.264099","36.687426","732,태안터미널행",124,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370499","몽산1리","126.268512","36.685697","723,730,735",125,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370500","몽산1리","126.268488","36.685777","732,태안터미널행",126,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370501","몽산2리.밤나무골","126.273134","36.678113","723,730,735",127,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300015","CLUB 596","1","370502","몽산2리.밤나무골","126.273211","36.678187","732,태안터미널행",128,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300016","DMZ 마루캠핑","1","88013","삼곶리","127.010283","38.132439","100,35-2",129,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300016","DMZ 마루캠핑","1","153396","중면면사무소","127.019380","38.135398","100,35-2",130,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300016","DMZ 마루캠핑","1","153397","중면면사무소","127.018569","38.135481","100,35-2",131,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300016","DMZ 마루캠핑","1","153398","삼곳리","127.024202","38.134835","100,35-2",132,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300016","DMZ 마루캠핑","1","153399","삼곳리","127.024213","38.134880","100,35-2",133,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300018","F1 오토캠핑장","1","513675","황도","126.388194","34.739070","132,133,300A,330,331",134,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300018","F1 오토캠핑장","1","513676","황도(종어촌)","126.388598","34.739103","130,131,300,330,331",135,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300018","F1 오토캠핑장","1","513677","삼호중공업남문","126.389527","34.733409","132,133,300A,330,331",136,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300018","F1 오토캠핑장","1","513678","현대삼호중공업남문","126.389929","34.733514","130,131,300,330,331",137,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300018","F1 오토캠핑장","1","513710","낚시점","126.393547","34.733841","300A",138,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300018","F1 오토캠핑장","1","513711","낚시점","126.393513","34.733921","300",139,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300018","F1 오토캠핑장","1","513712","영호정","126.396018","34.740489","300",140,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300018","F1 오토캠핑장","1","513713","영호정","126.395943","34.740398","300A",141,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300019","Najost Camp","1","254550","든돌","128.604537","37.114163","10",142,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300019","Najost Camp","1","254554","삿갓교","128.603710","37.106400","10",143,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300019","Najost Camp","1","254890","든돌","128.604493","37.114245","10",144,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300019","Najost Camp","1","254893","삿갓교","128.603609","37.106400","10",145,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300019","Najost Camp","1","5004547","싸리골","128.603960","37.103830","10",146,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300019","Najost Camp","1","5004548","싸리골","128.604039","37.103902","10",147,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","520792","상동회관","127.774478","34.716452","103,105",148,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","520793","밀듬벙","127.779601","34.719914","105",149,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","520794","밀듬벙입구","127.779898","34.717275","105",150,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","520795","하동마을","127.779443","34.713531","103",151,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","521582","상동","127.773387","34.716378","103,105",152,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","521583","상동삼거리","127.776325","34.715771","103,105",153,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","521584","하동회관","127.778578","34.714404","103,105",154,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","521585","하동삼거리","127.779247","34.713234","103",155,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","521586","종말이푸드","127.778802","34.712079","103",156,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","521587","밀듬벙입구","127.780508","34.715390","105",157,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","521909","밀듬벙삼거리","127.779387","34.713820","105",158,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300021","The Star 오토캠핑장","1","5005887","하동회관","127.778643","34.714450","103,105",159,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300022","VIP레저타운","1","156829","삼산리다리앞","127.777722","37.394080","22-2",160,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300022","VIP레저타운","1","255443","사기막","127.788746","37.385539","52,57",161,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300022","VIP레저타운","1","255447","사기막","127.788746","37.385674","57",162,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300022","VIP레저타운","1","256595","송롱","127.788864","37.391946","57",163,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300022","VIP레저타운","1","256596","송롱","127.788796","37.391883","57",164,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300022","VIP레저타운","1","256597","달랑고개","127.788980","37.395028","57",165,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300022","VIP레저타운","1","256598","달랑고개","127.788968","37.395136","57",166,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300022","VIP레저타운","1","262461","삼산2리(배내)","127.777519","37.393953","52",167,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300023","VIP오토캠핑장","1","612740","평리","128.926679","35.499317","고례1,고례2,고례3",168,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300023","VIP오토캠핑장","1","614527","평리","128.926699","35.499191","고례1,고례2,고례3",169,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300023","VIP오토캠핑장","1","5001130","고례초등학교","128.928790","35.492216","고례1,고례2,고례3",170,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300023","VIP오토캠핑장","1","5001131","고례초등학교","128.928922","35.492206","고례1,고례2,고례3",171,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300024","W글램핑","1","605966","지곡마을","127.881384","35.393112","산청시외버스터미널-내리",172,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300024","W글램핑","1","616993","지성","127.880551","35.397951","산청시외버스터미널-내리",173,"I","20201125000000",NULL,NULL,"N",NULL
"CAP300024","W글램핑","1","616994","지성","127.880661","35.397969","산청시외버스터미널-내리",174,"I","20201125000000",NULL,NULL,"N",NULL
