기관ID,기관이름,상품이름,숙박일자,상태
115,속리산 자연휴양림,(신) 207호 삼나무,20210205,체크아웃
192,남해편백 자연휴양림,난초섬,20210213,체크아웃
195,운문산 자연휴양림,잣나무(2휴),20210212,체크아웃
107,삼봉 자연휴양림,뻐꾸기,20210210,체크아웃
113,가리왕산 자연휴양림,산까치,20210210,체크아웃
182,칠보산 자연휴양림,해송(1동-2층),20210213,체크아웃
101,유명산 자연휴양림,오두막B,20210214,체크아웃
103,산음 자연휴양림,산토끼,20210204,체크아웃
115,속리산 자연휴양림,(신) 207호 삼나무,20210212,체크아웃
107,삼봉 자연휴양림,다람쥐,20210213,체크아웃
190,지리산 자연휴양림,토끼봉,20210213,체크아웃
104,아세안 자연휴양림,미얀마(3),20210208,체크아웃
115,속리산 자연휴양림,(신) 205호 잣나무,20210210,체크아웃
182,칠보산 자연휴양림,양지꽃,20210310,체크아웃
182,칠보산 자연휴양림,양지꽃,20210311,체크아웃
220,용현 자연휴양림,106호 붓꽃,20210208,체크아웃
105,신불산 자연휴양림,하단1관 단풍나무,20210222,체크아웃
200,낙안민속 자연휴양림,(신) 비비추,20210217,체크아웃
107,삼봉 자연휴양림,계방산,20210212,체크아웃
187,희리산 자연휴양림,소쩍새(3동2층),20210211,체크아웃
107,삼봉 자연휴양림,계방산,20210207,체크아웃
107,삼봉 자연휴양림,계방산,20210208,체크아웃
192,남해편백 자연휴양림,노도,20210217,체크아웃
220,용현 자연휴양림,106호 붓꽃,20210224,체크아웃
115,속리산 자연휴양림,(신) 205호 잣나무,20210205,체크아웃
191,오서산 자연휴양림,(신)405호 찔레꽃,20210303,체크아웃
104,아세안 자연휴양림,태국(2),20210206,체크아웃
104,아세안 자연휴양림,베트남(3),20210225,체크아웃
102,용대 자연휴양림,[휴]옥잠화,20210213,체크아웃
191,오서산 자연휴양림,(신)403호 살구꽃,20210210,체크아웃
191,오서산 자연휴양림,(신)415호 도라지꽃,20210219,체크아웃
106,청태산 자연휴양림,2휴_물푸레나무,20210210,체크아웃
110,복주산 자연휴양림,[1휴]원앙새,20210211,체크아웃
115,속리산 자연휴양림,201호 형제봉,20210212,체크아웃
104,아세안 자연휴양림,싱가포르(4),20210218,체크아웃
104,아세안 자연휴양림,캄보디아(1),20210213,체크아웃
192,남해편백 자연휴양림,솔섬,20210317,체크아웃
192,남해편백 자연휴양림,솔섬,20210318,체크아웃
141,덕유산 자연휴양림,들메나무1,20210220,체크아웃
141,덕유산 자연휴양림,전나무2,20210214,체크아웃
182,칠보산 자연휴양림,백리향(2동-1층),20210206,체크아웃
300,상당산성 자연휴양림,1휴_203호백리향,20210205,체크아웃
220,용현 자연휴양림,310호 상수리나무,20210211,체크아웃
102,용대 자연휴양림,[연]앵초,20210205,체크아웃
194,운장산 자연휴양림,종달새,20210212,체크아웃
188,회문산 자연휴양림,산벚나무,20210211,체크아웃
188,회문산 자연휴양림,산벚나무,20210212,체크아웃
188,회문산 자연휴양림,산벚나무,20210213,체크아웃
194,운장산 자연휴양림,낙엽송(1층),20210211,체크아웃
194,운장산 자연휴양림,낙엽송(1층),20210212,체크아웃
195,운문산 자연휴양림,운문산장,20210225,체크아웃
220,용현 자연휴양림,310호 상수리나무,20210212,체크아웃
141,덕유산 자연휴양림,채송화,20210215,체크아웃
195,운문산 자연휴양림,생금비리산장,20210213,체크아웃
101,유명산 자연휴양림,[1휴]원추리,20210222,체크아웃
196,천관산 자연휴양림,삼나무,20210310,체크아웃
194,운장산 자연휴양림,산딸나무(1층),20210214,체크아웃
194,운장산 자연휴양림,산딸나무(1층),20210215,체크아웃
220,용현 자연휴양림,106호 붓꽃,20210214,체크아웃
196,천관산 자연휴양림,비자나무 A,20210304,체크아웃
192,남해편백 자연휴양림,돌섬,20210315,체크아웃
244,검봉산 자연휴양림,[C동]진달래,20210214,체크아웃
244,검봉산 자연휴양림,[C동]진달래,20210215,체크아웃
195,운문산 자연휴양림,운문산장,20210213,체크아웃
244,검봉산 자연휴양림,[A동]소나무,20210213,체크아웃
192,남해편백 자연휴양림,모섬,20210206,체크아웃
195,운문산 자연휴양림,고라니,20210206,체크아웃
107,삼봉 자연휴양림,너구리,20210212,체크아웃
244,검봉산 자연휴양림,[C동]산철쭉,20210314,체크아웃
244,검봉산 자연휴양림,[C동]산철쭉,20210315,체크아웃
188,회문산 자연휴양림,산딸나무,20210206,체크아웃
220,용현 자연휴양림,309호 떡갈나무,20210210,체크아웃
194,운장산 자연휴양림,박달나무(2층),20210205,체크아웃
115,속리산 자연휴양림,(신) 208호 소나무,20210219,체크아웃
192,남해편백 자연휴양림,팥섬,20210206,체크아웃
192,남해편백 자연휴양림,추도,20210217,체크아웃
192,남해편백 자연휴양림,미조도,20210317,체크아웃
195,운문산 자연휴양림,물봉선(1휴),20210213,체크아웃
107,삼봉 자연휴양림,오소리,20210210,체크아웃
101,유명산 자연휴양림,[1휴]초롱꽃,20210207,체크아웃
141,덕유산 자연휴양림,할미꽃,20210207,체크아웃
195,운문산 자연휴양림,가슬갑사산장,20210212,체크아웃
195,운문산 자연휴양림,물봉선(1휴),20210212,체크아웃
300,상당산성 자연휴양림,1휴_105호꽃창포,20210206,체크아웃
113,가리왕산 자연휴양림,소쩍새,20210207,체크아웃
194,운장산 자연휴양림,종달새,20210206,체크아웃
195,운문산 자연휴양림,생금비리산장,20210211,체크아웃
244,검봉산 자연휴양림,[B동]산토끼,20210206,체크아웃
195,운문산 자연휴양림,너구리,20210217,체크아웃
195,운문산 자연휴양림,너구리,20210218,체크아웃
106,청태산 자연휴양림,1휴_돌단풍,20210321,체크아웃
106,청태산 자연휴양림,1휴_돌단풍,20210322,체크아웃
187,희리산 자연휴양림,607호 수선화,20210214,체크아웃
220,용현 자연휴양림,309호 떡갈나무,20210303,체크아웃
244,검봉산 자연휴양림,[A동]소나무,20210212,체크아웃
106,청태산 자연휴양림,2휴_물푸레나무,20210214,체크아웃
182,칠보산 자연휴양림,해당화(2동-2층),20210215,체크아웃
115,속리산 자연휴양림,201호 형제봉,20210215,체크아웃
182,칠보산 자연휴양림,해송(1동-2층),20210215,체크아웃
182,칠보산 자연휴양림,백리향(2동-1층),20210222,체크아웃
195,운문산 자연휴양림,범부채(1휴),20210214,체크아웃
195,운문산 자연휴양림,오소리,20210214,체크아웃
110,복주산 자연휴양림,금낭화,20210219,체크아웃
102,용대 자연휴양림,[휴]동자꽃,20210307,체크아웃
101,유명산 자연휴양림,소쩍새,20210214,체크아웃
202,달음산 자연휴양림,도깨비(1층),20210301,체크아웃
107,삼봉 자연휴양림,크낙새,20210226,체크아웃
192,남해편백 자연휴양림,떼섬,20210321,체크아웃
101,유명산 자연휴양림,[연]오동나무,20210307,체크아웃
182,칠보산 자연휴양림,해송(1동-2층),20210214,체크아웃
107,삼봉 자연휴양림,다람쥐,20210219,체크아웃
102,용대 자연휴양림,박쥐나무,20210208,체크아웃
115,속리산 자연휴양림,(신) 205호 잣나무,20210130,체크아웃
107,삼봉 자연휴양림,산양,20210131,체크아웃
107,삼봉 자연휴양림,계방산,20210131,체크아웃
106,청태산 자연휴양림,분비나무,20210203,체크아웃
192,남해편백 자연휴양림,목도,20210303,체크아웃
192,남해편백 자연휴양림,목도,20210304,체크아웃
115,속리산 자연휴양림,(신) 203호 자란,20210224,체크아웃
115,속리산 자연휴양림,(신) 203호 자란,20210225,체크아웃
195,운문산 자연휴양림,박달나무(2휴),20210206,체크아웃
195,운문산 자연휴양림,보리수나무(2휴),20210220,체크아웃
220,용현 자연휴양림,106호 붓꽃,20210222,체크아웃
187,희리산 자연휴양림,606호 봉선화,20210204,체크아웃
102,용대 자연휴양림,[휴]동자꽃,20210226,체크아웃
195,운문산 자연휴양림,물봉선(1휴),20210211,체크아웃
220,용현 자연휴양림,308호 신갈나무,20210211,체크아웃
194,운장산 자연휴양림,꾀꼬리,20210224,체크아웃
190,지리산 자연휴양림,형제봉,20210303,체크아웃
190,지리산 자연휴양림,형제봉,20210304,체크아웃
103,산음 자연휴양림,다람쥐,20210207,체크아웃
110,복주산 자연휴양림,[1휴]종달새,20210210,체크아웃
101,유명산 자연휴양림,[1휴]산벚나무,20210208,체크아웃
107,삼봉 자연휴양림,계방산,20210201,체크아웃
192,남해편백 자연휴양림,미조도,20210201,체크아웃
202,달음산 자연휴양림,도깨비(1층),20210307,체크아웃
105,신불산 자연휴양림,하단1관 단풍나무,20210306,체크아웃
106,청태산 자연휴양림,1휴_제비꽃,20210208,체크아웃
182,칠보산 자연휴양림,구상나무(1동-1층),20210210,체크아웃
220,용현 자연휴양림,308호 신갈나무,20210217,체크아웃
103,산음 자연휴양림,너구리,20210131,체크아웃
242,황정산 자연휴양림,온달,20210310,체크아웃
242,황정산 자연휴양림,온달,20210311,체크아웃
101,유명산 자연휴양림,[1휴]원추리,20210307,체크아웃
101,유명산 자연휴양림,[1휴]원추리,20210308,체크아웃
300,상당산성 자연휴양림,5동 밤나무,20210204,체크아웃
106,청태산 자연휴양림,낙엽송,20210204,체크아웃
103,산음 자연휴양림,구상나무,20210206,체크아웃
195,운문산 자연휴양림,가지산장,20210212,체크아웃
192,남해편백 자연휴양림,돌섬,20210212,체크아웃
110,복주산 자연휴양림,[1휴]올배미,20210203,체크아웃
194,운장산 자연휴양림,종달새,20210221,체크아웃
194,운장산 자연휴양림,종달새,20210222,체크아웃
104,아세안 자연휴양림,싱가포르(3),20210221,체크아웃
195,운문산 자연휴양림,가지산장,20210307,체크아웃
195,운문산 자연휴양림,물봉선(1휴),20210207,체크아웃
244,검봉산 자연휴양림,[A동]잣나무,20210213,체크아웃
104,아세안 자연휴양림,싱가포르(3),20210201,체크아웃
141,덕유산 자연휴양림,전나무2,20210203,체크아웃
181,방장산 자연휴양림,신_편백나무(2층),20210201,체크아웃
182,칠보산 자연휴양림,구상나무(1동-1층),20210215,체크아웃
104,아세안 자연휴양림,싱가포르(3),20210204,체크아웃
196,천관산 자연휴양림,비자나무 B,20210310,체크아웃
196,천관산 자연휴양림,비자나무 B,20210311,체크아웃
244,검봉산 자연휴양림,[B동]고라니,20210221,체크아웃
244,검봉산 자연휴양림,[B동]고라니,20210222,체크아웃
106,청태산 자연휴양림,2휴_자작나무,20210217,체크아웃
106,청태산 자연휴양림,2휴_자작나무,20210218,체크아웃
106,청태산 자연휴양림,2휴_층층나무,20210201,체크아웃
104,아세안 자연휴양림,베트남(2),20210219,체크아웃
106,청태산 자연휴양림,1휴_자운영,20210130,체크아웃
102,용대 자연휴양림,[휴]동자꽃,20210217,체크아웃
102,용대 자연휴양림,[휴]동자꽃,20210218,체크아웃
200,낙안민속 자연휴양림,(신) 소나무,20210210,체크아웃
106,청태산 자연휴양림,1휴_투구꽃,20210203,체크아웃
202,달음산 자연휴양림,선녀(1층),20210304,체크아웃
194,운장산 자연휴양림,낙엽송(1층),20210221,체크아웃
106,청태산 자연휴양림,2휴_느티나무,20210203,체크아웃
110,복주산 자연휴양림,[1휴]종달새,20210214,체크아웃
202,달음산 자연휴양림,선녀(1층),20210213,체크아웃
102,용대 자연휴양림,[연]속새,20210208,체크아웃
195,운문산 자연휴양림,잣나무(2휴),20210226,체크아웃
191,오서산 자연휴양림,(신)405호 찔레꽃,20210307,체크아웃
103,산음 자연휴양림,독수리,20210215,체크아웃
141,덕유산 자연휴양림,채송화,20210224,체크아웃
104,아세안 자연휴양림,미얀마(1),20210208,체크아웃
202,달음산 자연휴양림,선녀(1층),20210227,체크아웃
202,달음산 자연휴양림,선녀(1층),20210228,체크아웃
103,산음 자연휴양림,둥글레,20210208,체크아웃
106,청태산 자연휴양림,2휴_느티나무,20210311,체크아웃
195,운문산 자연휴양림,오소리,20210212,체크아웃
191,오서산 자연휴양림,(신)411호 채송화꽃,20210224,체크아웃
103,산음 자연휴양림,오소리,20210310,체크아웃
103,산음 자연휴양림,오소리,20210311,체크아웃
141,덕유산 자연휴양림,가문비나무,20210310,체크아웃
141,덕유산 자연휴양림,가문비나무,20210311,체크아웃
104,아세안 자연휴양림,싱가포르(2),20210131,체크아웃
113,가리왕산 자연휴양림,산까치,20210201,체크아웃
102,용대 자연휴양림,[휴]동자꽃,20210210,체크아웃
102,용대 자연휴양림,[휴]얼레지,20210224,체크아웃
141,덕유산 자연휴양림,물푸레나무1,20210205,체크아웃
194,운장산 자연휴양림,소나무(1층),20210204,체크아웃
192,남해편백 자연휴양림,솔섬,20210304,체크아웃
191,오서산 자연휴양림,(신)413호 초롱꽃,20210219,체크아웃
191,오서산 자연휴양림,(신)410호 패랭이꽃,20210225,체크아웃
103,산음 자연휴양림,황토방1,20210217,체크아웃
182,칠보산 자연휴양림,해송(1동-2층),20210307,체크아웃
182,칠보산 자연휴양림,해송(1동-2층),20210308,체크아웃
141,덕유산 자연휴양림,제비꽃,20210208,체크아웃
141,덕유산 자연휴양림,초롱꽃,20210208,체크아웃
187,희리산 자연휴양림,607호 수선화,20210210,체크아웃
245,대야산 자연휴양림,캐빈4,20210214,체크아웃
195,운문산 자연휴양림,너구리,20210219,체크아웃
195,운문산 자연휴양림,고라니,20210217,체크아웃
195,운문산 자연휴양림,고라니,20210218,체크아웃
107,삼봉 자연휴양림,가칠봉,20210221,체크아웃
104,아세안 자연휴양림,태국(3),20210210,체크아웃
192,남해편백 자연휴양림,목리도,20210303,체크아웃
187,희리산 자연휴양림,두루미(3동2층),20210211,체크아웃
107,삼봉 자연휴양림,뻐꾸기,20210217,체크아웃
107,삼봉 자연휴양림,뻐꾸기,20210218,체크아웃
300,상당산성 자연휴양림,5동 밤나무,20210307,체크아웃
300,상당산성 자연휴양림,5동 밤나무,20210308,체크아웃
